날짜,제목,링크,분류,첨부파일
2014年8月21日,外国為替令第六条第一項の規定に基づき、外国為替及び外国貿易法第十六条第一項の規定に基づく経済産業大臣の許可を受けなければならない支払等の一部改正（PDF形式：61KB）,boekikanri/download/seisai/other/20140821_256_so.pdf,経済制裁,
2014年8月20日,中央アフリカ共和国における平和等を損なう行為等に関与した者等に対する資産凍結等の措置について（PDF形式：227KB）,boekikanri/download/seisai/other/20140820_255_so.pdf,経済制裁,
2014年8月15日,北朝鮮の核関連、その他の大量破壊兵器関連及び弾道ミサイル関連計画に関与する者に対する資産凍結等の措置の対象者の追加について（PDF形式：192KB）,boekikanri/download/seisai/kitachosen/20140815_253_sn.pdf,経済制裁,
2014年8月5日,クリミア自治共和国及びセヴァストーポリ特別市のロシア連邦への「併合」又はウクライナ東部の不安定化に直接関与していると判断される者に対する資産凍結等の措置について（PDF形式：316KB）,boekikanri/download/seisai/other/20140805_244_so.pdf,経済制裁,
2014年8月5日,外国為替令第六条第一項の規定に基づき、外国為替及び外国貿易法第十六条第一項の規定に基づく経済産業大臣の許可を受けなければならない支払等の一部改正（PDF形式：70KB）,boekikanri/download/seisai/other/20140805_245_so.pdf,経済制裁,
2014年8月5日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：166KB）,boekikanri/download/import/2014/20140805_247_im.pdf,輸入,
2014年7月28日,「血液製剤の輸出承認について」の一部改正について（PDF形式：113KB）,boekikanri/download/export/2014/20140728_242_ex.pdf,輸出,
2014年7月25日,輸出貿易管理令の一部を改正する政令について（PDF形式：121KB）,boekikanri/download/export/2014/20140725_241_ex.pdf,輸出,
2014年7月22日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：281KB）,boekikanri/download/seisai/other/20140722_233_so.pdf,経済制裁,
2014年7月11日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：214KB）,boekikanri/download/import/2014/20140710_209_im.pdf,輸入,
2014年6月5日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：191KB）,boekikanri/download/seisai/other/20140605_195_so.pdf,経済制裁,
2014年5月12日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：217KB）,boekikanri/download/seisai/other/20140512_172_so.pdf,経済制裁,
2014年5月1日,まぐろ類、めろの事前確認の申請様式変更について（PDF形式：297KB）,boekikanri/download/import/2014/20140501_153_im.pdf,輸入,
2014年4月25日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：191KB）,boekikanri/download/import/2014/20140425_152_im.pdf,輸入,
2014年4月25日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正について（PDF形式：77KB）,boekikanri/download/export/2014/20140425_151_ex.pdf,輸出,
2014年4月25日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の一部改正について（PDF形式：76KB）,boekikanri/download/export/2014/20140425_150_ex.pdf,輸出,
2014年4月24日,「委託加工貿易契約包括承認取扱要領」の制定について（PDF形式：142KB）,boekikanri/download/export/2014/20140424_148_ex.pdf,輸出,
2014年4月21日,「輸出貿易管理令第四条第二項の規定に基づく経済産業大臣が告示で定める貨物」の一部改正について（PDF形式：54KB）,boekikanri/download/export/2014/20140421_134_ex.pdf,輸出,
2014年3月31日,「税関における包括承認の確認方法について（お知らせ）」の制定について（PDF形式：126KB）,boekikanri/download/export/2014/20140331_102_ex.pdf,輸出,
2014年3月31日,「電子情報処理組織を使用して行う特定手続等の運用について」の一部改正について（PDF形式：113KB）,boekikanri/download/exim/2014/20140331_099_ei.pdf,輸出入,
2014年3月20日,「輸入貿易管理規則」の一部改正について（PDF形式：258KB）,boekikanri/download/import/2014/20140320_065_im.pdf,輸入,
2014年3月20日,規制対象品目の見直しについて（PDF形式：219KB）,boekikanri/download/import/2014/20140320_063_im.pdf,輸入,
2014年3月14日,一般包括承認の概要（PDF形式：189KB）,boekikanri/download/export/2014/20140314_061_ex.pdf,輸出,
2014年3月12日,カニの密漁・密輸出防止のための輸入手続に関する説明会の資料を掲載しました（水産庁にリンク）,"http://www.jfa.maff.go.jp/j/kakou/import/kani.html""""",輸入,
2014年3月11日,「委託加工貿易契約包括承認取扱要領」等の制定に対する意見募集について,"http://search.e-gov.go.jp/servlet/Public?CLASSNAME=PCMMSTDETAIL&id=595114033&Mode=0""""",意見募集,
2014年3月6日,「輸出貿易管理令第４条第２項の規定に基づく経済産業大臣が告示で定める貨物」等の改正等に対する意見募集について,"http://search.e-gov.go.jp/servlet/Public?CLASSNAME=PCMMSTDETAIL&id=595114029&Mode=0""""",意見募集,
2014年2月28日,「放射性同位元素の輸出承認について」の一部改正について（PDF形式：60KB）,boekikanri/download/export/2014/20140228_054_ex.pdf,輸出,
2014年2月19日,「電子情報処理組織を使用して行う特定手続等の運用について」等の改正等に対する意見募集について,"http://search.e-gov.go.jp/servlet/Public?CLASSNAME=PCMMSTDETAIL&id=595114020&Mode=0""""",意見募集,
2014年2月10日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：181KB）,boekikanri/download/import/2014/20140210_041_im.pdf,輸入,
2014年2月10日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正について（PDF形式：76KB）,boekikanri/download/export/2014/20140210_040_ex.pdf,輸出,
2014年2月5日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：197KB）,boekikanri/download/seisai/other/20140205_038_so.pdf,経済制裁,
2014年2月5日,リベリア前政権の高官又はその関係者等に対する資産凍結等の措置について（PDF形式：162KB）,boekikanri/download/seisai/other/20140204_037_so.pdf,経済制裁,
2014年2月3日,カニの密漁・密輸防止のための輸入手続に関する説明会について（水産庁にリンク）,"http://www.jfa.maff.go.jp/j/kakou/import/kani.html""""",輸入,
2014年2月3日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」等（規制対象品目の見直し等）の一部改正に対する意見募集について,"http://search.e-gov.go.jp/servlet/Public?CLASSNAME=PCMMSTDETAIL&id=595114014&Mode=0""""",意見募集,
2014年2月3日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」等（かに）の一部改正等に対する意見募集について,"http://search.e-gov.go.jp/servlet/Public?CLASSNAME=PCMMSTDETAIL&id=595114013&Mode=0""""",意見募集,
2014年2月1日,「包括承認取扱要領」の制定に対する意見募集について,"http://search.e-gov.go.jp/servlet/Public?CLASSNAME=PCMMSTDETAIL&id=595114012&Mode=0""""",意見募集,
2014年1月31日,みなみまぐろの漁獲証明書の改正について（PDF形式：263KB）,boekikanri/download/import/2014/20140131_029_im.pdf,輸入,
2014年1月24日,「電子情報処理組織を使用して行う特定手続等の運用について」の一部改正について（PDF形式：110KB）,boekikanri/download/import/2014/20140124_019_im.pdf,輸入,
2014年1月24日,シリアを原産地又は船積地域とする貨物の二号承認制への追加について（PDF形式：102KB）,boekikanri/download/import/2014/20140124_018_im.pdf,輸入,
2014年1月24日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：227KB）,boekikanri/download/import/2014/20140124_017_im.pdf,輸入,
2014年1月24日,「洋上売船の取扱いについて」の一部改正について（PDF形式：70KB）,boekikanri/download/export/2014/20140124_016_ex.pdf,輸出,
2014年1月24日,「漁船の輸出承認について」の一部改正について（PDF形式：70KB）,boekikanri/download/export/2014/20140124_015_ex.pdf,輸出,
2014年1月17日,「医薬品類の輸入の承認について」の一部改正について（PDF形式：207KB）,boekikanri/download/import/2014/20140117_011_im.pdf,輸入,
2014年1月17日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：183KB）,boekikanri/download/import/2014/20140117_010_im.pdf,輸入,
2013年12月12日,（お知らせ）年末年始における申請受付窓口について（PDF形式：99KB）,boekikanri/download/misc/2013/20131212_274_zz.pdf,その他,
2013年12月11日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加及び削除について（PDF形式：224KB）,boekikanri/download/seisai/other/20131211_273_so.pdf,経済制裁,
2013年12月3日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：108KB）,boekikanri/download/import/2013/20131203_271_im.pdf,輸入,
2013年12月3日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の一部改正について（PDF形式：87KB）,boekikanri/download/export/2013/20131203_270_ex.pdf,輸出,
2013年12月3日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正について（PDF形式：90KB）,boekikanri/download/export/2013/20131203_269_ex.pdf,輸出,
2013年12月3日,「オゾン層を破壊する物質に関するモントリオール議定書附属書A、附属書B、附属書C及び附属書Eに掲げる物質の輸出承認について」の一部改正について（PDF形式：83KB）,boekikanri/download/export/2013/20131203_268_ex.pdf,輸出,
2013年11月29日,「キンバリー・プロセス証明制度の参加国等について」の一部改正（PDF形式：67KB）,boekikanri/download/export/2013/20131129_267_ex.pdf,輸出,
2013年10月11日,「外国為替及び外国貿易法（輸入関係）基本通達」の一部改正について（PDF形式：95KB）,boekikanri/download/import/2013/20131011_242_im.pdf,輸入,
2013年10月11日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：88KB）,boekikanri/download/export/2013/20131011_241_ex.pdf,輸出,
2013年10月11日,【お知らせ】通関関係書類のペーパーレス化に係る経済産業省の交付する許可承認証等の扱いについて（PDF形式：311KB）,boekikanri/download/misc/2013/20131011_243_zz.pdf,その他,
2013年9月20日,「輸入貿易管理令第１４条ただし書の規定に基づく経済産業大臣が定める場合」の一部改正について（PDF形式：149KB）,boekikanri/download/import/2013/20130920_235_im.pdf,輸入,
2013年9月20日,「輸出貿易管理令第四条第二項第四号の規定に基づき、一時的に入国して出国する者が別表第二の三六の項の中欄に掲げる貨物を輸出しようとする場合であって、経済産業大臣の承認を受けなければならない貨物から経済産業大臣が告示で除くもの」の一部改正について（PDF形式：154KB）,boekikanri/download/export/2013/20130920_234_ex.pdf,輸出,
2013年9月12日,「血液製剤の輸出承認について」の一部改正について（PDF形式：65KB）,boekikanri/download/export/2013/20130912_222_ex.pdf,輸出,
2013年8月30日,北朝鮮の核関連、その他の大量破壊兵器関連及び弾道ミサイル関連計画等に関与する者に対する資産凍結等の措置（PDF形式：301KB）,boekikanri/download/seisai/kitachosen/20130830_218_sn.pdf,経済制裁,
2013年7月31日,「電子情報処理組織を使用して行う特定手続等に係る申請項目について」の一部改正について（PDF形式：100KB）,boekikanri/download/export/2013/20130731_195_ex.pdf,輸出,
2013年7月31日,「化学物質の輸出承認について」の一部改正について（PDF形式：102KB）,boekikanri/download/export/2013/20130731_194_ex.pdf,輸出,
2013年7月31日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：96KB）,boekikanri/download/export/2013/20130731_193_ex.pdf,輸出,
2013年5月16日,「生鮮又は冷蔵くろまぐろを輸入する場合の取扱いについて」の一部改正について（PDF形式：178KB）,boekikanri/download/import/2013/20130516_138_im.pdf,輸入,
2013年5月16日,「輸入公表三の７の（３）に基づく経済産業大臣の輸入に関する確認について」の一部改正について（PDF形式：131KB）,boekikanri/download/import/2013/20130516_137_im.pdf,輸入,
2013年5月16日,「医薬品類の輸入の承認について」の一部改正について（PDF形式：186KB）,boekikanri/download/import/2013/20130516_136_im.pdf,輸入,
2013年5月16日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：196KB）,boekikanri/download/import/2013/20130516_135_im.pdf,輸入,
2013年5月16日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の一部改正について（PDF形式：121KB）,boekikanri/download/export/2013/20130516_134_ex.pdf,輸出,
2013年5月15日,大西洋まぐろ類保存国際委員会（ICCAT）のくろまぐろ電子漁獲証明制度の導入について（PDF形式：82KB）,boekikanri/download/import/2013/20130515_130_im.pdf,輸入,
2013年5月1日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：181KB）,boekikanri/download/import/2013/20130501_126_im.pdf,輸入,
2013年5月1日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正について（PDF形式：141KB）,boekikanri/download/export/2013/20130501_125_ex.pdf,輸出,
2013年4月5日,北朝鮮の核関連、その他の大量破壊兵器関連及び弾道ミサイル関連計画に関与する者に対する資産凍結等の措置等,01_seido/04_seisai/downloadNK/20130405presskitatyousen.pdf,経済制裁,
2013年4月5日,【プレス発表資料】外国為替及び外国貿易法に基づく北朝鮮輸出入禁止措置の継続について（PDF形式：149KB）,boekikanri/download/seisai/kitachosen/20130405_108_sn.pdf,経済制裁,
2013年4月2日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正について（PDF形式：84KB）,boekikanri/download/export/2013/20130402_104_ex.pdf,輸出,
2013年4月2日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：87KB）,boekikanri/download/import/2013/20130402_106_im.pdf,輸入,
2013年4月1日,「放射性同位元素の輸入に係る使用許可証、使用の届出又は販売若しくは賃貸の業を証明する書類の取扱いについて」の一部改正について（PDF形式：178KB）,boekikanri/download/import/2013/20130401_105_im.pdf,輸入,
2013年4月1日,「放射性同位元素の輸出承認について」の一部改正について（PDF形式：78KB）,boekikanri/download/export/2013/20130401_103_ex.pdf,輸出,
2013年3月25日,「血液製剤の輸出承認について」の一部改正について（PDF形式：61KB）,boekikanri/download/export/2013/20130325_208_ex.pdf,輸出,
2013年3月1日,「医薬品類の輸入の承認について」の一部改正（PDF形式：193KB）,boekikanri/download/import/2013/20130301_055_im.pdf,輸入,
2013年3月1日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正（PDF形式：205KB）,boekikanri/download/import/2013/20130301_056_im.pdf,輸入,
2013年3月1日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の一部改正（PDF形式：120KB）,boekikanri/download/export/2013/20130301_054_ex.pdf,輸出,
2013年2月26日,大西洋又は地中海において蓄養された生鮮又は冷蔵くろまぐろの輸入について（PDF形式：179KB）,boekikanri/download/import/2013/20130227_053_im.pdf,輸入,
2013年2月5日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正（PDF形式：177KB）,boekikanri/download/import/2013/20130205_028_im.pdf,輸入,
2013年2月5日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正（PDF形式：128KB）,boekikanri/download/export/2013/20130205_027_ex.pdf,輸出,
2013年2月1日,「輸入公表三の７の（３）に基づく経済産業大臣の輸入に関する確認について」の一部改正（PDF形式：269KB）,boekikanri/download/import/2013/20130204_024_im.pdf,輸入,
2013年2月1日,「生鮮又は冷蔵のみなみまぐろを輸入する場合の取扱いについて」の一部改正（PDF形式：269KB）,boekikanri/download/import/2013/20130204_025_im.pdf,輸入,
2013年2月1日,「めろを輸入する場合の確認について」の一部改正（PDF形式：113KB）,boekikanri/download/import/2013/20130204_026_im.pdf,輸入,
2012年12月20日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正（PDF形式：296KB）,boekikanri/download/import/2012/20121220_348_im.pdf,輸入,
2012年12月20日,「オゾン層を破壊する物質に関するモントリオール議定書に掲げる物質の輸出承認について」の一部改正（PDF形式：116KB）,boekikanri/download/export/2012/20121220_347_ex.pdf,輸出,
2012年12月20日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正（PDF形式：142KB）,boekikanri/download/export/2012/20121220_346_ex.pdf,輸出,
2012年12月11日,（お知らせ）年末年始における申請受付窓口について（PDF形式：169KB）,boekikanri/download/misc/2012/20121211_181_zz.pdf,その他,
2012年11月16日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正（PDF形式：318KB）,boekikanri/download/import/2012/20121116_336_im.pdf,輸入,
2012年11月16日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正について（PDF形式：127KB）,boekikanri/download/export/2012/20121116_335_ex.pdf,輸出,
2012年11月16日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の一部改正について（PDF形式：125KB）,boekikanri/download/export/2012/20121116_334_ex.pdf,輸出,
2012年10月18日,「麻薬又は向精神薬の原材料の輸出承認について」の一部改正について（PDF形式：301KB）,boekikanri/download/export/2012/20121018_310_ex.pdf,輸出,
2012年10月1日,輸入貿易管理令に基づく承認を要しないワシントン条約附属書に掲げる種に属する動植物等に係る輸入許可書の申請手続等について」の一部改正（PDF形式：118KB）,boekikanri/download/import/2012/20121001_308_im.pdf,輸入,
2012年10月1日,「ワシントン条約に基づく輸入許可書の申請手続等について」の一部改正（PDF形式：115KB）,boekikanri/download/import/2012/20121001_307_im.pdf,輸入,
2012年10月1日,「輸出貿易管理令に基づく承認を要しない絶滅のおそれのある動植物等に係る輸出許可書等の申請手続等について」の一部改正（PDF形式：133KB）,boekikanri/download/export/2012/20121001_306_ex.pdf,輸出,
2012年10月1日,「絶滅のおそれのある野生動植物等に係る輸出許可書の申請手続等について」の一部改正（PDF形式：132KB）,boekikanri/download/export/2012/20121001_305_ex.pdf,輸出,
2012年9月26日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正（PDF形式：219KB）,boekikanri/download/import/2012/20120926_304_im.pdf,輸入,
2012年9月26日,「オゾン層を破壊する物質に関するモントリオール議定書の締約 国等について」の一部改正（PDF形式：124KB）,boekikanri/download/export/2012/20120926_303_ex.pdf,輸出,
2012年9月19日,「放射性同位元素の輸出承認について」の一部改正（PDF形式：108KB）,boekikanri/download/export/2012/20120919_302_ex.pdf,輸出,
2012年9月13日,カニの密漁・密輸防止のための輸入手続に関する説明会について（水産庁にリンク）,"http://www.jfa.maff.go.jp/j/kakou/import/kani-setsumeikai.html""""",輸入,
2012年8月22日,「輸入公表三の７の（７）に基づく経済産業大臣の輸入に関する確認について」の一部改正（PDF形式：287KB）,boekikanri/download/import/2012/20120822_267_im.pdf,輸入,
2012年8月22日,絶滅のおそれのある野生動植物等に係る輸出許可書の申請手続等について」の一部改正（PDF形式：225KB）,boekikanri/download/export/2012/20120822_266_ex.pdf,輸出,
2012年8月22日,「輸出貿易管理令に基づく承認を要しない絶滅のおそれのある動植物等に係る輸出許可書等の申請手続等について」の一部改正（PDF形式：229KB）,boekikanri/download/export/2012/20120822_265_ex.pdf,輸出,
2012年8月1日,「医薬品類の輸入の承認について」の一部改正（PDF形式：155KB）,boekikanri/download/import/2012/20120801_255_im.pdf,輸入,
2012年8月1日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正（PDF形式：366KB）,boekikanri/download/import/2012/20120801_254_im.pdf,輸入,
2012年8月1日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正（PDF形式：170KB）,boekikanri/download/export/2012/20120801_253_ex.pdf,輸出,
2012年7月19日,輸入貿易管理令第十四条ただし書の規定に基づく、告示の一部改正について（PDF形式：180KB）,boekikanri/download/import/2012/20120719_245_im.pdf,輸入,
2012年7月19日,輸出貿易管理令第四条第二項第四号の規定に基づき、経済産業大臣が告示で除くものの制定について（PDF形式：70KB）,boekikanri/download/export/2012/20120719_244_ex.pdf,輸出,
2012年6月7日,「輸入公表三の７の（３）に基づく経済産業大臣の輸入に関する確（PDF形式：266KB）,boekikanri/download/import/2012/20120607_207_im.pdf,輸入,
2012年6月7日,「生鮮又は冷蔵のくろまぐろを輸入する場合の取扱いについて」の（PDF形式：281KB）,boekikanri/download/import/2012/20120607_208_im.pdf,輸入,
2012年5月28日,国連安保理決議に基づくソマリアからの木炭の輸入禁止措置,01_seido/04_seisai/downloadSomalia/20120528press_somarlia.pdf,経済制裁,
2012年5月28日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部について（PDF形式：29KB）,boekikanri/download/import/2012/20120528_189_im.pdf,輸入,
2012年5月28日,ICCATくろまぐろ漁獲証明書制度の改正について（PDF形式：346KB）,boekikanri/download/import/2012/20120528_188_im.pdf,輸入,
2012年5月25日,平成24年度「ボイル後塩蔵こんぶ」追加輸入割当て（PDF形式：249KB）,boekikanri/download/import/2012/20120525_187_im.pdf,輸入,
2012年5月15日,北朝鮮の核関連、その他の大量破壊兵器関連及び弾道ミサイル関連計画に関与する者に対する資産凍結等の措置の対象者の追加,http://www.meti.go.jp/press/2012/05/20120515001/20120515001.html,経済制裁,
2012年4月23日,ソマリアに対する武器禁輸措置等に違反した者等に対する資産凍結等の措置の対象者の追加,http://www.meti.go.jp/press/2012/04/20120423007/20120423007.html,経済制裁,
2012年4月11日,「オゾン層を破壊する物質に関するモントリオール議定書の締約 国等について」の一部改正について（PDF形式：186KB）,boekikanri/download/export/2012/20120411_132_ex.pdf,輸出,
2012年4月11日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：40KB）,boekikanri/download/import/2012/20120411_131_im.pdf,輸入,
2012年4月11日,輸入注意事項の廃止について（PDF形式：23KB）,boekikanri/download/import/2012/20120411_130_im.pdf,輸入,
2012年4月6日,北朝鮮との間の輸出入禁止措置等の継続に係る輸出貿易管理令及び関連告示の改正（PDF形式：152KB）,boekikanri/download/seisai/kitachosen/20120406_121_sn.pdf,経済制裁,
2012年4月2日,ワシントン条約対象貨物の申請窓口変更のお知らせ（PDF形式：160KB）,boekikanri/download/cites/2012/20120402_109_ci.pdf,輸出入,
2012年4月1日,輸出貿易管理令に基づく農林水産物の一部の輸出規制廃止について（PDF形式：198KB）,boekikanri/download/export/2012/20120401_104_ex.pdf,輸出,
2012年3月26日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：158KB）,boekikanri/download/export/2012/20120326_096_ex.pdf,輸出,
2012年3月26日,「血液製剤の輸出承認について」の一部改正について（PDF形式：103KB）,boekikanri/download/export/2012/20120326_095_ex.pdf,輸出,
2012年3月13日,イランに対する国連安保理決議の履行に付随する措置の対象の追加について,http://www.meti.go.jp/press/2011/03/20120313002/20120313002.html,経済制裁,
2012年3月9日,シリアのアル・アサド大統領及びその関係者等に対する資産凍結等の措置の対象者の追加について,http://www.meti.go.jp/press/2011/03/20120309004/20120309004.html,経済制裁,
2012年3月5日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：139KB）,boekikanri/download/export/2012/20120305_047_ex.pdf,輸出,
2012年2月29日,「電子情報処理組織を使用して行う特定手続等の運用について」の一部改正について（PDF形式：457KB）,boekikanri/download/exim/2012/20120229_042_ei.pdf,輸出入,
2012年2月22日,輸出貿易管理令に基づく「魚粉及び魚かす」・「養魚用・ペット等用の配合飼料」の輸出規制廃止について（PDF形式：156KB）,boekikanri/download/export/2012/20120222_033_ex.pdf,輸出,
2012年2月10日,継続取引一括輸出承認（一括輸出承認）制度の骨子（PDF形式：88KB）,boekikanri/download/export/2012/20120210_010_ex.pdf,輸出,
2012年2月10日,「麻薬又は向精神薬の原材料の輸出承認について」の一部改正について（PDF形式：89KB）,boekikanri/download/export/2012/20120210_009_ex.pdf,輸出,
2011年12月27日,リビアのカダフィ革命指導者及びその関係者に対する資産凍結等の措置の削除について,http://www.meti.go.jp/press/2011/12/20111227010/20111227010.html,経済制裁,
2011年12月26日,輸出貿易管理令（昭和二十四年政令第三百七十八号）の一部を改正する政令（政令第四百十六号）について,"http://www.meti.go.jp/press/2011/12/20111220004/20111220004.html""""",輸出,
2011年12月22日,シリアのアル・アサド大統領及びその関係者等に対する資産凍結等の措置の対象者の追加について,http://www.meti.go.jp/press/2011/12/20111222008/20111222008.html,経済制裁,
2011年12月21日,関税定率法改正に伴う輸入貿易管理令関連告示等の改正について（PDF形式：190KB）,boekikanri/download/import/2011/20111221_491_im.pdf,輸入,
2011年12月21日,「輸出貿易管理令別表第二の二第二号及び第二十二号の規定に基づく経済産業大臣が告示で定める貨物」の一部改正について（PDF形式：19KB）,boekikanri/download/export/2011/20111221_497_ex.pdf,輸出,
2011年12月21日,「オゾン層を破壊する物質に関するモントリオール議定書の締約国等について」の一部改正について（PDF形式：102KB）,boekikanri/download/export/2011/20111221_499_ex.pdf,輸出,
2011年12月17日,「継続取引一括輸出承認取扱要領」の制定等についてのパブリックコメントを開始しました。,"http://search.e-gov.go.jp/servlet/Public?CLASSNAME=PCMMSTDETAIL&id=595111076&Mode=0""""",輸出,
2011年12月16日,（お知らせ）年末年始における申請受付窓口について（PDF形式：83KB）,boekikanri/download/misc/2011/20111216_489_zz.pdf,その他,
2011年11月11日,「せん、かば及びならの丸太（そま角及び最少横断面における丸身が３０パーセント以上の製材を含む。）の輸出承認について」の一部改正について（PDF形式：164KB）,boekikanri/download/export/2011/20111111_454_ex.pdf,輸出,
2011年11月11日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：59KB）,boekikanri/download/export/2011/20111111_453_ex.pdf,輸出,
2011年11月11日,「化学品等の輸入の承認について」の一部改正について（PDF形式：76KB）,boekikanri/download/import/2011/20111111_452_im.pdf,輸入,
2011年10月31日,「外国為替及び外国貿易法（輸入関係）基本通達」の一部改正について（PDF形式：57KB）,boekikanri/download/import/2011/20111031_440_im.pdf,輸入,
2011年10月31日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：76KB）,boekikanri/download/export/2011/20111031_439_ex.pdf,輸出,
2011年10月19日,「麻薬又は向精神薬の原材料の輸出承認について」の一部改正について（PDF形式：24KB）,boekikanri/download/export/2011/20111019_422_ex.pdf,輸出,
2011年10月18日,外国為替令第六条第一項の規定に基づき、外国為替令第六条第一項の規定により経済産業大臣が指定する外国為替及び外国貿易法第十六条第一項の許可を要する支払の一部改正について（PDF形式：22KB）,boekikanri/download/seisai/libya/20111018_427_sl.pdf,経済制裁,
2011年10月17日,リビアのカダフィ革命指導者及びその関係者に対する資産凍結等の措置の削除等について,http://www.meti.go.jp/press/2011/10/20111017011/20111017011.html,経済制裁,
2011年10月17日,ソマリアに対する武器禁輸措置等に違反した者等に対する資産凍結等の措置の対象者の追加について,http://www.meti.go.jp/press/2011/10/20111017010/20111017010.html,経済制裁,
2011年10月3日,「輸出貿易管理令の運用について」及び「化学物質の輸出承認について」の一部改正について（PDF形式：242KB）,boekikanri/download/export/2011/20111003_394_ex.pdf,輸出,
2011年9月16日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の一部改正について（PDF形式：25KB）,boekikanri/download/export/2011/20110916_382_ex.pdf,輸出,
